date, region, infected, recovered, timestamp_requested
2021-08-03 04:21:39,Adygea Republic,16405,15174,08-03-2021 09.23.24
2021-08-03 04:21:39,Altai Krai,62639,49168,08-03-2021 09.23.24
2021-08-03 04:21:39,Altai Republic,19536,18046,08-03-2021 09.23.24
2021-08-03 04:21:39,Amur Oblast,27981,24935,08-03-2021 09.23.24
2021-08-03 04:21:39,Arkhangelsk Oblast,74377,69783,08-03-2021 09.23.24
2021-08-03 04:21:39,Astrakhan Oblast,43962,36709,08-03-2021 09.23.24
2021-08-03 04:21:39,Bashkortostan Republic,48769,44919,08-03-2021 09.23.24
2021-08-03 04:21:39,Belgorod Oblast,44870,41595,08-03-2021 09.23.24
2021-08-03 04:21:39,Bryansk Oblast,54613,49593,08-03-2021 09.23.24
2021-08-03 04:21:39,Buryatia Republic,52757,47287,08-03-2021 09.23.24
2021-08-03 04:21:39,Chechen Republic,16214,13060,08-03-2021 09.23.24
2021-08-03 04:21:39,Chelyabinsk Oblast,74191,66552,08-03-2021 09.23.24
2021-08-03 04:21:39,Chukotka Autonomous Okrug,1173,874,08-03-2021 09.23.24
2021-08-03 04:21:39,Chuvashia Republic,29434,26806,08-03-2021 09.23.24
2021-08-03 04:21:39,Dagestan Republic,42117,37565,08-03-2021 09.23.24
2021-08-03 04:21:39,Ingushetia Republic,17745,16328,08-03-2021 09.23.24
2021-08-03 04:21:39,Irkutsk Oblast,86229,73064,08-03-2021 09.23.24
2021-08-03 04:21:39,Ivanovo Oblast,41626,38344,08-03-2021 09.23.24
2021-08-03 04:21:39,Jewish Autonomous Okrug,5813,4469,08-03-2021 09.23.24
2021-08-03 04:21:39,Kabardino-Balkarian Republic,27180,25198,08-03-2021 09.23.24
2021-08-03 04:21:39,Kaliningrad Oblast,43470,40293,08-03-2021 09.23.24
2021-08-03 04:21:39,Kalmykia Republic,25049,21853,08-03-2021 09.23.24
2021-08-03 04:21:39,Kaluga Oblast,41422,38695,08-03-2021 09.23.24
2021-08-03 04:21:39,Kamchatka Krai,16888,14523,08-03-2021 09.23.24
2021-08-03 04:21:39,Karachay-Cherkess Republic,22503,20716,08-03-2021 09.23.24
2021-08-03 04:21:39,Karelia Republic,56145,52712,08-03-2021 09.23.24
2021-08-03 04:21:39,Kemerovo Oblast,46274,43565,08-03-2021 09.23.24
2021-08-03 04:21:39,Khabarovsk Krai,66085,59554,08-03-2021 09.23.24
2021-08-03 04:21:39,Khakassia Republic,30645,26404,08-03-2021 09.23.24
2021-08-03 04:21:39,Khanty-Mansi Autonomous Okrug,65740,61825,08-03-2021 09.23.24
2021-08-03 04:21:39,Kirov Oblast,50550,47541,08-03-2021 09.23.24
2021-08-03 04:21:39,Komi Republic,55729,47999,08-03-2021 09.23.24
2021-08-03 04:21:39,Kostroma Oblast,27455,22625,08-03-2021 09.23.24
2021-08-03 04:21:39,Krasnodar Krai,59577,47288,08-03-2021 09.23.24
2021-08-03 04:21:39,Krasnoyarsk Krai,91934,77401,08-03-2021 09.23.24
2021-08-03 04:21:39,Kurgan Oblast,26028,23681,08-03-2021 09.23.24
2021-08-03 04:21:39,Kursk Oblast,46831,43733,08-03-2021 09.23.24
2021-08-03 04:21:39,Leningrad Oblast,56562,47328,08-03-2021 09.23.24
2021-08-03 04:21:39,Lipetsk Oblast,40212,34497,08-03-2021 09.23.24
2021-08-03 04:21:39,Magadan Oblast,9550,8754,08-03-2021 09.23.24
2021-08-03 04:21:39,Mari El Republic,16202,14745,08-03-2021 09.23.24
2021-08-03 04:21:39,Mordovia Republic,24003,21139,08-03-2021 09.23.24
2021-08-03 04:21:39,Moscow,1511940,1366386,08-03-2021 09.23.24
2021-08-03 04:21:39,Moscow Oblast,388491,318115,08-03-2021 09.23.24
2021-08-03 04:21:39,Murmansk Oblast,62359,51223,08-03-2021 09.23.24
2021-08-03 04:21:39,Nenets Autonomous Okrug,1602,1487,08-03-2021 09.23.24
2021-08-03 04:21:39,Nizhny Novgorod Oblast,141634,129042,08-03-2021 09.23.24
2021-08-03 04:21:39,North Ossetia - Alania Republic,18882,17256,08-03-2021 09.23.24
2021-08-03 04:21:39,Novgorod Oblast,36780,34302,08-03-2021 09.23.24
2021-08-03 04:21:39,Novosibirsk Oblast,53114,44813,08-03-2021 09.23.24
2021-08-03 04:21:39,Omsk Oblast,62010,54894,08-03-2021 09.23.24
2021-08-03 04:21:39,Orel Oblast,40335,38036,08-03-2021 09.23.24
2021-08-03 04:21:39,Orenburg Oblast,56959,47252,08-03-2021 09.23.24
2021-08-03 04:21:39,Penza Oblast,56668,46416,08-03-2021 09.23.24
2021-08-03 04:21:39,Perm Krai,73992,65408,08-03-2021 09.23.24
2021-08-03 04:21:39,Primorsky Krai,55078,48576,08-03-2021 09.23.24
2021-08-03 04:21:39,Pskov Oblast,43874,36252,08-03-2021 09.23.24
2021-08-03 04:21:39,Rostov Oblast,110493,97645,08-03-2021 09.23.24
2021-08-03 04:21:39,Ryazan Oblast,35415,32903,08-03-2021 09.23.24
2021-08-03 04:21:39,Saint Petersburg,532551,506156,08-03-2021 09.23.24
2021-08-03 04:21:39,Sakha (Yakutiya) Republic,44876,39713,08-03-2021 09.23.24
2021-08-03 04:21:39,Sakhalin Oblast,27647,25744,08-03-2021 09.23.24
2021-08-03 04:21:39,Samara Oblast,77239,71265,08-03-2021 09.23.24
2021-08-03 04:21:39,Saratov Oblast,73585,68514,08-03-2021 09.23.24
2021-08-03 04:21:39,Smolensk Oblast,41824,34620,08-03-2021 09.23.24
2021-08-03 04:21:39,Stavropol Krai,65229,56923,08-03-2021 09.23.24
2021-08-03 04:21:39,Sverdlovsk Oblast,108468,100748,08-03-2021 09.23.24
2021-08-03 04:21:39,Tambov Oblast,37870,35697,08-03-2021 09.23.24
2021-08-03 04:21:39,Tatarstan Republic,24032,21289,08-03-2021 09.23.24
2021-08-03 04:21:39,Tomsk Oblast,37418,33536,08-03-2021 09.23.24
2021-08-03 04:21:39,Tula Oblast,47682,41235,08-03-2021 09.23.24
2021-08-03 04:21:39,Tver Oblast,54152,46049,08-03-2021 09.23.24
2021-08-03 04:21:39,Tyumen Oblast,47127,43648,08-03-2021 09.23.24
2021-08-03 04:21:39,Tyva Republic,21663,17882,08-03-2021 09.23.24
